modis_date,calendar_date,band,value_center,value_min,value_max,value_sum,value_range,value_mean,value_variance,value_stddev,pixels_total,pixels_pass,pixels_pass_rel,proc_date
A2000049,2000-02-18,250m_16_days_NDVI,0.5208,0.1818,0.9176,583.721,0.7358,0.5785,0.018,0.1342,1089,1009,92.65,2015136104714
A2000065,2000-03-05,250m_16_days_NDVI,0.4918,0.1212,0.9032,518.3952,0.782,0.5556,0.0192,0.1386,1089,933,85.67,2015136023003
A2000081,2000-03-21,250m_16_days_NDVI,0.4517,0.1253,0.8905,611.3099,0.7652,0.5655,0.0211,0.1451,1089,1081,99.27,2015136040319
A2000097,2000-04-06,250m_16_days_NDVI,0.4842,0.1662,0.8452,624.8373,0.679,0.5738,0.0227,0.1506,1089,1089,100,2015136040607
A2000113,2000-04-22,250m_16_days_NDVI,0.4945,0.2004,0.9248,635.6945,0.7244,0.5881,0.0213,0.1461,1089,1081,99.27,2015137040224
A2000129,2000-05-08,250m_16_days_NDVI,0.4968,0.2367,0.9655,650.5809,0.7288,0.6018,0.0172,0.1311,1089,1081,99.27,2015137051757
A2000145,2000-05-24,250m_16_days_NDVI,0.6312,0.2361,0.8275,547.5159,0.5914,0.5945,0.0178,0.1336,1089,921,84.57,2015137100904
A2000161,2000-06-09,250m_16_days_NDVI,0.5538,0.2041,0.906,648.7756,0.7019,0.5979,0.019,0.1379,1089,1085,99.63,2015137044439
A2000177,2000-06-25,250m_16_days_NDVI,0.4623,0.1898,0.895,589.3497,0.7052,0.5661,0.0191,0.1381,1089,1041,95.59,2015138072930
A2000193,2000-07-11,250m_16_days_NDVI,0.5748,0.2225,0.9,622.5328,0.6775,0.5727,0.017,0.1306,1089,1087,99.82,2015138075210
A2000209,2000-07-27,250m_16_days_NDVI,0.4809,0.1535,0.8981,500.4739,0.7446,0.5364,0.0188,0.137,1089,933,85.67,2015138075424
A2000225,2000-08-12,250m_16_days_NDVI,0.4759,0.201,0.9189,602.4169,0.7179,0.5656,0.0179,0.134,1089,1065,97.8,2015138073827
A2000241,2000-08-28,250m_16_days_NDVI,0.4677,0.1793,0.9345,567.3981,0.7552,0.5451,0.0186,0.1364,1089,1041,95.59,2015138080642
A2000257,2000-09-13,250m_16_days_NDVI,0.4591,0.1237,0.8522,468.2395,0.7285,0.4976,0.0161,0.1269,1089,941,86.41,2015139074751
A2000273,2000-09-29,250m_16_days_NDVI,0.4369,0.1418,0.9929,495.4026,0.8511,0.491,0.0181,0.1346,1089,1009,92.65,2015139075145
A2000289,2000-10-15,250m_16_days_NDVI,0.4122,0.1533,0.824,560.9103,0.6707,0.5151,0.0178,0.1335,1089,1089,100,2015139084039
A2000305,2000-10-31,250m_16_days_NDVI,0.39,0.1476,0.8177,492.4955,0.6701,0.4642,0.0183,0.1353,1089,1061,97.43,2015139075146
A2000321,2000-11-16,250m_16_days_NDVI,F,0.0603,0.8433,104.5476,0.783,0.4182,0.0188,0.137,1089,250,22.96,2015139221836
A2000337,2000-12-02,250m_16_days_NDVI,0.379,0.1097,0.9356,325.9199,0.8259,0.4428,0.0156,0.1248,1089,736,67.58,2015140091629
A2000353,2000-12-18,250m_16_days_NDVI,0.4771,0.1893,0.8646,496.3602,0.6753,0.5219,0.0183,0.1354,1089,951,87.33,2017285144106
A2001001,2001-01-01,250m_16_days_NDVI,0.4487,0.105,0.8465,354.1082,0.7415,0.5238,0.0146,0.1207,1089,676,62.08,2015140082022
A2001017,2001-01-17,250m_16_days_NDVI,0.4353,0.2265,0.8707,603.2033,0.6442,0.5539,0.0284,0.1685,1089,1089,100,2015140092159
A2001033,2001-02-02,250m_16_days_NDVI,0.3973,0.0919,0.945,356.3854,0.8531,0.5084,0.0226,0.1502,1089,701,64.37,2015141152427
A2001049,2001-02-18,250m_16_days_NDVI,F,0.0881,0.8848,303.8243,0.7967,0.5229,0.0203,0.1426,1089,581,53.35,2015142165816
A2001065,2001-03-06,250m_16_days_NDVI,0.4943,0.193,0.9133,599.5574,0.7203,0.5919,0.0198,0.1407,1089,1013,93.02,2015142182923
A2001081,2001-03-22,250m_16_days_NDVI,0.4856,0.1852,0.8961,466.0029,0.7109,0.5425,0.0176,0.1327,1089,859,78.88,2015142190414
A2001097,2001-04-07,250m_16_days_NDVI,0.498,0.2482,0.8652,657.6217,0.617,0.6039,0.0185,0.1359,1089,1089,100,2015142195400
A2001113,2001-04-23,250m_16_days_NDVI,0.5222,0.1815,0.8767,656.8253,0.6952,0.6031,0.0204,0.1427,1089,1089,100,2015142203722
A2001129,2001-05-09,250m_16_days_NDVI,0.6694,0.1911,0.85,669.4985,0.6589,0.6148,0.0177,0.133,1089,1089,100,2015142064537
A2001145,2001-05-25,250m_16_days_NDVI,0.5645,0.2278,0.8712,671.5764,0.6434,0.6195,0.0213,0.1459,1089,1084,99.54,2015143095055
A2001161,2001-06-10,250m_16_days_NDVI,0.5187,0.1905,0.9907,529.6483,0.8002,0.6005,0.0148,0.1216,1089,882,80.99,2015143072522
A2001177,2001-06-26,250m_16_days_NDVI,0.4696,0.1879,0.9338,611.835,0.7459,0.5697,0.02,0.1416,1089,1074,98.62,2015143093653
A2001193,2001-07-12,250m_16_days_NDVI,0.4022,0.213,0.9555,616.6411,0.7425,0.5662,0.0167,0.1292,1089,1089,100,2015143124620
A2001209,2001-07-28,250m_16_days_NDVI,0.4131,0.176,0.9903,478.1689,0.8143,0.5012,0.0173,0.1314,1089,954,87.6,2015143163844
A2001225,2001-08-13,250m_16_days_NDVI,0.4269,0.1451,0.8388,564.4696,0.6937,0.5183,0.0209,0.1446,1089,1089,100,2015144060258
A2001241,2001-08-29,250m_16_days_NDVI,0.4477,0.1685,0.7957,540.2738,0.6272,0.4961,0.0165,0.1285,1089,1089,100,2015144062701
A2001257,2001-09-14,250m_16_days_NDVI,0.3764,0.1484,0.7741,518.1481,0.6257,0.4758,0.0167,0.1291,1089,1089,100,2015144062717
A2001273,2001-09-30,250m_16_days_NDVI,0.3715,0.1365,0.7778,425.3608,0.6413,0.4482,0.0153,0.1236,1089,949,87.14,2015144063056
A2001289,2001-10-16,250m_16_days_NDVI,0.3425,0.1639,0.7302,487.0197,0.5663,0.4514,0.0148,0.1215,1089,1079,99.08,2015146030321
A2001305,2001-11-01,250m_16_days_NDVI,F,0.0969,0.8103,379.5103,0.7134,0.4408,0.012,0.1097,1089,861,79.06,2015146023413
A2001321,2001-11-17,250m_16_days_NDVI,0.3867,0.164,0.9115,395.2413,0.7475,0.4367,0.0138,0.1175,1089,905,83.1,2015146035931
A2001337,2001-12-03,250m_16_days_NDVI,F,0.107,0.7485,234.0081,0.6415,0.4374,0.0133,0.1155,1089,535,49.13,2015146031430
A2001353,2001-12-19,250m_16_days_NDVI,F,0.1663,0.9899,197.6584,0.8236,0.4729,0.024,0.155,1089,418,38.38,2015146084205
A2002001,2002-01-01,250m_16_days_NDVI,F,0.1112,0.9669,347.1102,0.8557,0.5188,0.0225,0.1498,1089,669,61.43,2015146145526
A2002017,2002-01-17,250m_16_days_NDVI,0.3498,0.1234,0.8547,517.6428,0.7313,0.4753,0.0231,0.152,1089,1089,100,2015146121503
A2002033,2002-02-02,250m_16_days_NDVI,0.3495,0.1364,0.7249,491.5562,0.5885,0.4564,0.0147,0.1213,1089,1077,98.9,2015146145421
A2002049,2002-02-18,250m_16_days_NDVI,0.3805,0.1427,0.8028,550.0876,0.6601,0.507,0.0157,0.1251,1089,1085,99.63,2015146124949
A2002065,2002-03-06,250m_16_days_NDVI,0.4165,0.178,0.9221,596.7908,0.7441,0.548,0.0161,0.1269,1089,1089,100,2015147121522
A2002081,2002-03-22,250m_16_days_NDVI,0.4295,0.1912,0.8106,603.1269,0.6194,0.5538,0.0162,0.1274,1089,1089,100,2015147124710
A2002097,2002-04-07,250m_16_days_NDVI,0.4864,0.1665,0.9682,647.1248,0.8017,0.5986,0.0214,0.1463,1089,1081,99.27,2015147211740
A2002113,2002-04-23,250m_16_days_NDVI,0.527,0.1904,0.8789,643.7449,0.6885,0.6011,0.021,0.1448,1089,1071,98.35,2015147214352
A2002129,2002-05-09,250m_16_days_NDVI,0.5332,0.2003,0.942,681.8149,0.7417,0.6261,0.0209,0.1447,1089,1089,100,2015147232423
A2002145,2002-05-25,250m_16_days_NDVI,0.6666,0.2765,0.9507,713.2729,0.6742,0.6623,0.013,0.1142,1089,1077,98.9,2015148102612
A2002161,2002-06-10,250m_16_days_NDVI,0.6337,0.2648,0.9739,707.3214,0.7091,0.6525,0.0173,0.1317,1089,1084,99.54,2015148093800
A2002177,2002-06-26,250m_16_days_NDVI,0.4864,0.0693,0.8757,662.1767,0.8064,0.6229,0.0204,0.1429,1089,1063,97.61,2015149001529
A2002193,2002-07-12,250m_16_days_NDVI,0.5557,0.1938,0.9064,680.8129,0.7126,0.6252,0.0208,0.1443,1089,1089,100,2015149024638
A2002209,2002-07-28,250m_16_days_NDVI,0.4809,0.2072,0.92,607.5683,0.7128,0.5882,0.0206,0.1434,1089,1033,94.86,2015149181809
A2002225,2002-08-13,250m_16_days_NDVI,0.5273,0.1823,0.9417,627.4227,0.7594,0.5836,0.0179,0.1337,1089,1075,98.71,2015150025404
A2002241,2002-08-29,250m_16_days_NDVI,0.5027,0.1448,0.9812,548.0184,0.8364,0.5453,0.0225,0.1499,1089,1005,92.29,2015150202714
A2002257,2002-09-14,250m_16_days_NDVI,0.4391,0.1751,0.9265,452.8538,0.7514,0.4982,0.0146,0.121,1089,909,83.47,2015151081400
A2002273,2002-09-30,250m_16_days_NDVI,0.4132,0.149,0.7892,505.6535,0.6402,0.5092,0.0159,0.1262,1089,993,91.18,2015151081354
A2002289,2002-10-16,250m_16_days_NDVI,0.3936,0.1357,0.8004,449.1117,0.6647,0.4732,0.015,0.1223,1089,949,87.14,2015152040421
A2002305,2002-11-01,250m_16_days_NDVI,0.4128,0.1221,0.7803,542.6761,0.6582,0.4983,0.0178,0.1333,1089,1089,100,2015152042048
A2002321,2002-11-17,250m_16_days_NDVI,0.5168,0.1757,0.9051,568.6653,0.7294,0.5658,0.021,0.145,1089,1005,92.29,2015152181141
A2002337,2002-12-03,250m_16_days_NDVI,0.4551,0.1411,0.952,457.4966,0.8109,0.5193,0.0175,0.1323,1089,881,80.9,2015153053049
A2002353,2002-12-19,250m_16_days_NDVI,0.4076,0.117,0.8895,410.5558,0.7725,0.5438,0.0174,0.1319,1089,755,69.33,2015153021043
